Datum;GM1;Vanguard;Nasdaq 100;Pictet Biotech
31.12.2013;181;169,4;224,7;174,5
01.01.2014;181;169,4;224,7;174,5
02.01.2014;182,9;169,4;226,1;177
03.01.2014;183,3;169,9;225,6;177,1
06.01.2014;183,3;169,1;223,4;175
07.01.2014;182,5;170,6;226,3;177,6
08.01.2014;182,1;170,6;227,7;182
09.01.2014;183,2;170,9;226,2;185,5
10.01.2014;183,3;170,2;224,2;189
13.01.2014;183,1;168,3;226,7;185
14.01.2014;182,5;169,7;225,6;189,9
15.01.2014;182,5;171,7;229,7;190,5
16.01.2014;183,9;171,4;229,5;193,5
17.01.2014;184,2;171,3;230,1;194,7
20.01.2014;184,2;171,2;229,5;194,8
21.01.2014;184,3;172;229,6;199,2
22.01.2014;184,4;171,8;231,5;199,4
23.01.2014;184,5;168,9;228;197,3
24.01.2014;183,6;165,3;225,4;191,1
27.01.2014;180,7;164,6;222,6;187
28.01.2014;178,5;165,7;221,4;191,1
29.01.2014;177,8;164,3;221,6;189,6
30.01.2014;178,3;167,1;225,7;195,8
31.01.2014;178,2;167;225,6;194,8
03.02.2014;178,1;162,8;222,8;188,9
04.02.2014;177,3;164,1;222,9;190,7
05.02.2014;175,3;163,6;220,8;187,3
06.02.2014;175,1;164,9;222,9;186,7
07.02.2014;176;166,8;225;193,1
10.02.2014;177,4;166,7;226,9;196
11.02.2014;178,4;168,2;228,4;198,6
12.02.2014;178,9;169,3;231,2;201,7
13.02.2014;180,1;169,3;231,2;202,8
14.02.2014;180,6;169,9;231,7;201,4
17.02.2014;180,8;169,7;232,2;201,3
18.02.2014;181,3;169,3;232;204,2
19.02.2014;182,1;168,2;231,7;202,1
20.02.2014;181,7;169,7;231,7;205,4
21.02.2014;181,4;169;232,8;208,1
24.02.2014;181,6;170,3;233,4;210,5
25.02.2014;182,3;170;233,1;211,9
26.02.2014;182,6;170,8;234,7;211
27.02.2014;182,6;171,5;233,2;211,6
28.02.2014;182,6;170,4;233,5;203,9
03.03.2014;182,2;169,6;230,4;202,2
04.03.2014;181,3;172,6;234,7;207,7
05.03.2014;180,8;172,6;235,1;207,3
06.03.2014;182;171,7;233,8;200,8
07.03.2014;182,8;171,5;231,3;198,6
10.03.2014;182,3;171,2;231,3;199,1
11.03.2014;181,7;170,5;232;197,7
12.03.2014;180,7;170,1;230,6;198,8
13.03.2014;179,9;167,9;229;194,9
14.03.2014;178,4;167,4;227;193,7
17.03.2014;176,8;169;228,8;195
18.03.2014;177,1;170,4;230,6;199,8
19.03.2014;177,8;169,4;230,9;198,2
20.03.2014;178,7;172;232,8;198,4
21.03.2014;179;171,5;231,7;190
24.03.2014;178,5;170,7;226;184,2
25.03.2014;178,7;171,5;227,5;183,9
26.03.2014;178,1;170,2;228,4;181,5
27.03.2014;178,6;170,5;225,2;183,2
28.03.2014;179,3;171;227;178,7
31.03.2014;180,3;172,1;226,7;183,6
01.04.2014;181,4;173,1;229;186,2
02.04.2014;182,5;174;230,9;185,3
03.04.2014;183,5;174,4;231,2;180,7
04.04.2014;183,6;172,6;227,1;173,5
07.04.2014;183,5;170,1;223,1;173,2
08.04.2014;182,8;170,1;222,2;170,8
09.04.2014;181,4;171,6;223,7;176,7
10.04.2014;181,7;167,3;221;166,7
11.04.2014;181,2;165,7;218,3;161,6
14.04.2014;180,1;167,9;219,3;161,9
15.04.2014;179,5;169;217;162,3
16.04.2014;179,4;170,9;220,3;166,8
17.04.2014;179,2;170,8;221,5;166,4
18.04.2014;179,2;170,8;221,5;166,4
21.04.2014;179,2;171,9;221,5;169,1
22.04.2014;180,3;172,7;226;175,1
23.04.2014;180,6;171,9;224,2;171,1
24.04.2014;180,9;172,3;225,6;170
25.04.2014;180,9;170,7;222,4;164,9
28.04.2014;180,6;171,1;221,6;164,3
29.04.2014;179,5;172,3;223,9;169,3
30.04.2014;179,7;172,2;223,4;169,8
01.05.2014;179,7;172,2;223,4;171,3
02.05.2014;180,9;172;225;169
05.05.2014;180,8;172,1;224,8;171,4
06.05.2014;180,8;169,9;223,3;168,4
07.05.2014;180,1;171,1;219,8;166,3
08.05.2014;179,8;171,6;224,4;162,9
09.05.2014;179,8;173,2;223;166,9
12.05.2014;180,8;174,9;227,5;171,4
13.05.2014;181,7;175,6;229,1;170,9
14.05.2014;182,6;174,8;228,5;171,7
15.05.2014;182,7;173,1;225,3;169
16.05.2014;182,3;173,9;225,8;168,4
19.05.2014;181,4;174,4;228,9;169,3
20.05.2014;181,2;173,5;229,5;166,8
21.05.2014;181,1;175,4;230;167,3
22.05.2014;181,5;175,9;232,7;171,1
23.05.2014;182;177;233,8;171,4
26.05.2014;183,1;176,7;235;171,1
27.05.2014;183,7;178,2;236,4;175,5
28.05.2014;184,5;178,3;238;175,7
29.05.2014;184,5;179;238,2;176
30.05.2014;185;179;238,2;175,3
02.06.2014;185,4;179,6;238,4;175,1
03.06.2014;185,7;179,4;237,6;175,6
04.06.2014;185,9;179,7;238,8;178,5
05.06.2014;185,9;181;240,1;180,3
06.06.2014;186,2;181,5;241,7;179,9
09.06.2014;186,2;182,3;243,1;182,2
10.06.2014;187,3;182,9;243,8;183,8
11.06.2014;188;182,4;244,1;183,4
12.06.2014;188,4;180,9;242,9;183,8
13.06.2014;187,9;181,8;242,5;183,2
16.06.2014;187,8;181,4;241,1;183,1
17.06.2014;187,6;182,1;242,5;183,1
18.06.2014;187,1;183,2;242;186
19.06.2014;187,1;182,6;242,4;185,7
20.06.2014;188,2;183,7;243,3;186,5
23.06.2014;188,6;183,4;242,8;186,7
24.06.2014;188,2;182,2;245,5;189,3
25.06.2014;187,5;182,6;243,1;188,6
26.06.2014;187,4;183;243,9;189,8
27.06.2014;186,9;182,7;244,4;189,3
30.06.2014;186,8;181,9;244,8;188,5
01.07.2014;186,7;183,3;247,4;191,8
02.07.2014;187,3;183,8;248,4;193,4
03.07.2014;188,1;185,4;250,3;194,7
04.07.2014;188,8;185,7;250,8;195
07.07.2014;189,7;184,9;250,1;190,5
08.07.2014;189,5;183,4;246,5;185,9
09.07.2014;188,3;183,9;247,7;187,3
10.07.2014;187,3;183,6;247,9;186,6
11.07.2014;186,6;183,9;249;187,7
14.07.2014;185,9;184,4;250,9;187,1
15.07.2014;186;184,9;250,3;183,5
16.07.2014;186,8;186,1;252,6;182,4
17.07.2014;187;184,2;251,2;178,2
18.07.2014;187,3;186,2;252;183,7
21.07.2014;187,1;185,6;252,6;183,3
22.07.2014;186,9;187,3;255,8;186,5
23.07.2014;186,7;187,6;257,5;191,1
24.07.2014;187,7;187,7;257,7;188,6
25.07.2014;187,8;187,3;255,9;188,4
28.07.2014;188,4;187,2;256,5;187,2
29.07.2014;188,1;186,8;256,6;190,6
30.07.2014;187,9;187,3;258,2;192,9
31.07.2014;188,3;183,5;254,1;188,6
01.08.2014;187,4;182,3;251,1;186,9
04.08.2014;186,3;183,7;252,3;188
05.08.2014;185,4;182,7;253,5;189,2
06.08.2014;185;182,9;253,4;189,3
07.08.2014;185,1;182;253;187
08.08.2014;184,2;183,2;251;187,9
11.08.2014;183,2;184,1;255;189,1
12.08.2014;183,4;184,2;254;189,2
13.08.2014;184,6;185,2;257,1;192,8
14.08.2014;184,9;186;257,4;192,8
15.08.2014;184,9;185,9;257,7;197
18.08.2014;185,8;187,8;261,8;199,4
19.08.2014;185,7;189,4;263,6;199,8
20.08.2014;186,7;190,3;265;199,3
21.08.2014;187,6;190,9;265,2;197,1
22.08.2014;187,7;191,3;266,9;199,1
25.08.2014;188;192,7;269;204,4
26.08.2014;188,6;192,9;268,9;206,9
27.08.2014;189,2;192,9;268,9;206,5
28.08.2014;189,9;193;268,8;205,3
29.08.2014;189,8;193,7;270,5;207,1
01.09.2014;189,3;194,2;270,9;207,7
02.09.2014;189,7;194,3;271,5;207,1
03.09.2014;190,1;194;270,4;207
04.09.2014;189,9;196,2;274,8;205,8
05.09.2014;190,6;197,3;272,9;204,6
08.09.2014;192,4;196,9;276,1;206,5
09.09.2014;192,4;196,1;275,6;204,6
10.09.2014;192,2;196,8;274,9;208,6
