date,gm1
31.12.2013,181
01.01.2014,181
02.01.2014,"182,9"
03.01.2014,"183,3"
06.01.2014,"183,3"
07.01.2014,"182,5"
08.01.2014,"182,1"
09.01.2014,"183,2"
10.01.2014,"183,3"
13.01.2014,"183,1"
14.01.2014,"182,5"
15.01.2014,"182,5"
16.01.2014,"183,9"
17.01.2014,"184,2"
20.01.2014,"184,2"
21.01.2014,"184,3"
22.01.2014,"184,4"
23.01.2014,"184,5"
24.01.2014,"183,6"
27.01.2014,"180,7"
28.01.2014,"178,5"
29.01.2014,"177,8"
30.01.2014,"178,3"
31.01.2014,"178,2"
03.02.2014,"178,1"
04.02.2014,"177,3"
05.02.2014,"175,3"
06.02.2014,"175,1"
07.02.2014,176
10.02.2014,"177,4"
11.02.2014,"178,4"
12.02.2014,"178,9"
13.02.2014,"180,1"
14.02.2014,"180,6"
17.02.2014,"180,8"
18.02.2014,"181,3"
19.02.2014,"182,1"
20.02.2014,"181,7"
21.02.2014,"181,4"
24.02.2014,"181,6"
25.02.2014,"182,3"
26.02.2014,"182,6"
27.02.2014,"182,6"
28.02.2014,"182,6"
03.03.2014,"182,2"
04.03.2014,"181,3"
05.03.2014,"180,8"
06.03.2014,182
07.03.2014,"182,8"
10.03.2014,"182,3"
11.03.2014,"181,7"
12.03.2014,"180,7"
13.03.2014,"179,9"
14.03.2014,"178,4"
17.03.2014,"176,8"
18.03.2014,"177,1"
19.03.2014,"177,8"
20.03.2014,"178,7"
21.03.2014,179
24.03.2014,"178,5"
25.03.2014,"178,7"
26.03.2014,"178,1"
27.03.2014,"178,6"
28.03.2014,"179,3"
31.03.2014,"180,3"
01.04.2014,"181,4"
02.04.2014,"182,5"
03.04.2014,"183,5"
04.04.2014,"183,6"
07.04.2014,"183,5"
08.04.2014,"182,8"
09.04.2014,"181,4"
10.04.2014,"181,7"
11.04.2014,"181,2"
14.04.2014,"180,1"
15.04.2014,"179,5"
16.04.2014,"179,4"
17.04.2014,"179,2"
18.04.2014,"179,2"
21.04.2014,"179,2"
22.04.2014,"180,3"
23.04.2014,"180,6"
24.04.2014,"180,9"
25.04.2014,"180,9"
28.04.2014,"180,6"
29.04.2014,"179,5"
30.04.2014,"179,7"
01.05.2014,"179,7"
02.05.2014,"180,9"
05.05.2014,"180,8"
06.05.2014,"180,8"
07.05.2014,"180,1"
08.05.2014,"179,8"
09.05.2014,"179,8"
12.05.2014,"180,8"
13.05.2014,"181,7"
14.05.2014,"182,6"
15.05.2014,"182,7"
16.05.2014,"182,3"
19.05.2014,"181,4"
20.05.2014,"181,2"
21.05.2014,"181,1"
22.05.2014,"181,5"
23.05.2014,182
26.05.2014,"183,1"
27.05.2014,"183,7"
28.05.2014,"184,5"
29.05.2014,"184,5"
30.05.2014,185
02.06.2014,"185,4"
03.06.2014,"185,7"
04.06.2014,"185,9"
05.06.2014,"185,9"
06.06.2014,"186,2"
09.06.2014,"186,2"
10.06.2014,"187,3"
11.06.2014,188
12.06.2014,"188,4"
13.06.2014,"187,9"
16.06.2014,"187,8"
17.06.2014,"187,6"
18.06.2014,"187,1"
19.06.2014,"187,1"
20.06.2014,"188,2"
23.06.2014,"188,6"
24.06.2014,"188,2"
25.06.2014,"187,5"
26.06.2014,"187,4"
27.06.2014,"186,9"
30.06.2014,"186,8"
01.07.2014,"186,7"
02.07.2014,"187,3"
03.07.2014,"188,1"
04.07.2014,"188,8"
07.07.2014,"189,7"
08.07.2014,"189,5"
09.07.2014,"188,3"
10.07.2014,"187,3"
11.07.2014,"186,6"
14.07.2014,"185,9"
15.07.2014,186
16.07.2014,"186,8"
17.07.2014,187
18.07.2014,"187,3"
21.07.2014,"187,1"
22.07.2014,"186,9"
23.07.2014,"186,7"
24.07.2014,"187,7"
25.07.2014,"187,8"
28.07.2014,"188,4"
29.07.2014,"188,1"
30.07.2014,"187,9"
31.07.2014,"188,3"
01.08.2014,"187,4"
04.08.2014,"186,3"
05.08.2014,"185,4"
06.08.2014,185
07.08.2014,"185,1"
08.08.2014,"184,2"
11.08.2014,"183,2"
12.08.2014,"183,4"
13.08.2014,"184,6"
14.08.2014,"184,9"
15.08.2014,"184,9"
18.08.2014,"185,8"
19.08.2014,"185,7"
20.08.2014,"186,7"
21.08.2014,"187,6"
22.08.2014,"187,7"
25.08.2014,188
26.08.2014,"188,6"
27.08.2014,"189,2"
28.08.2014,"189,9"
29.08.2014,"189,8"
01.09.2014,"189,3"
02.09.2014,"189,7"
03.09.2014,"190,1"
04.09.2014,"189,9"
05.09.2014,"190,6"
08.09.2014,"192,4"
09.09.2014,"192,4"
10.09.2014,"192,2"
11.09.2014,"191,7"
12.09.2014,"191,5"
15.09.2014,191
16.09.2014,"191,1"
17.09.2014,190
18.09.2014,"189,8"
19.09.2014,"190,6"
22.09.2014,"191,3"
23.09.2014,191
24.09.2014,"189,6"
25.09.2014,"189,6"
26.09.2014,"189,7"
29.09.2014,"189,2"
30.09.2014,"189,1"
01.10.2014,"188,9"
02.10.2014,"188,1"
03.10.2014,"185,6"
06.10.2014,"185,9"
07.10.2014,"185,5"
08.10.2014,"185,1"
09.10.2014,"183,7"
10.10.2014,"182,8"
13.10.2014,"182,3"
14.10.2014,"180,8"
15.10.2014,"180,1"
16.10.2014,180
17.10.2014,"177,4"
20.10.2014,"177,1"
21.10.2014,"179,3"
22.10.2014,"180,8"
23.10.2014,182
24.10.2014,"183,2"
27.10.2014,"184,4"
28.10.2014,"184,1"
29.10.2014,"184,2"
30.10.2014,"184,8"
31.10.2014,"186,2"
03.11.2014,"188,6"
04.11.2014,"190,1"
05.11.2014,"189,9"
06.11.2014,"189,6"
07.11.2014,"189,8"
10.11.2014,"190,6"
11.11.2014,"190,2"
12.11.2014,"191,3"
13.11.2014,"191,4"
14.11.2014,"191,2"
